,RMSE_total,MAE_total,MAPE_total
mean,30.114911172342268,23.07701862335205,0.1735573849081993
median,28.01545615711809,21.15729141235352,0.1662777215242386
std,6.750935041596347,5.830224971918635,0.037951004745520676
