,RMSE_total,MAE_total,MAPE_total
mean,48.290857876405155,30.652985763549804,0.2071935647726059
median,34.34617043904786,26.35789680480957,0.1747169345617294
std,60.811317434162774,13.009289375102354,0.1320821340496375
